id,nazwa,dlugosc,szerokosc
1143,Cerekiew / Kościół,21.05523,51.40660
1144,Cerekiew / Kościół,21.05535,51.40669
1147,Cerekiew I (NŻ),21.03788,51.40793
1148,Cerekiew I (NŻ),21.03743,51.40809
1151,Zatopolice II,21.01784,51.41144
1152,Zatopolice II,21.01909,51.41099
1153,Golędzin II,20.99137,51.41672
1154,Golędzin II,20.99097,51.41695
1155,Golędzin I,20.97871,51.41910
1156,Golędzin I,20.97869,51.41918
1158,Zatopolice III,21.02435,51.41040
1159,Zatopolice III,21.02358,51.41060
1160,Zatopolice I (NŻ),21.01081,51.41304
1161,Zatopolice I (NŻ),21.01079,51.41314
1168,Wierzbicka / Warsztatowa,21.12485,51.36603
1172,Wierzbicka / Gospodarcza (NŻ),21.12451,51.37022
1175,Limanowskiego / Cmentarz,21.13278,51.39401
1176,Limanowskiego / Chopina,21.13047,51.39181
1177,Idalin,21.18318,51.37053
1181,Dębowa / Maratońska,21.12291,51.39300
1182,Kosowska / Sucha,21.12078,51.38629
1183,Kosowska / Sucha,21.12068,51.38675
1185,Wiertnicza / Idalińska,21.17820,51.37239
1189,Traugutta / Moniuszki,21.15361,51.39606
1190,Traugutta / Moniuszki,21.15379,51.39607
1191,11 Listopada / Zbrowskiego (NŻ),21.17642,51.41114
1193,11 Listopada / Sportowa,21.17146,51.41197
1195,Główna / Krucza,21.12121,51.40327
1196,Sycyńska / Helleńska,21.13374,51.36504
1197,Os. Południe,21.12972,51.36275
1198,Główna / Klonowica (NŻ),21.12779,51.40472
1199,Żeromskiego / Sienna (NŻ),21.17090,51.39917
1200,Sycyńska / Urszuli (NŻ),21.13493,51.36964
1201,Sycyńska / Urszuli (NŻ),21.13471,51.36982
1202,Sycyńska / Helleńska,21.13400,51.36572
1203,Wośniki / Samorządowa,21.08284,51.38279
1204,Os. Wośniki,21.10755,51.38244
1206,Samorządowa / Kielecka (NŻ),21.08661,51.38367
1207,Wośniki / Szkoła (NŻ),21.09096,51.37849
1208,Wośniki / Szkoła (NŻ),21.09046,51.37874
1209,Młodzianowska / Jana Pawła II,21.15404,51.37882
1216,Jana Pawła II / Młodzianowska,21.15491,51.37928
1223,Zajezdnia Żakowice,21.13190,51.37742
1224,Zajezdnia Borki,21.13312,51.38621
